,comp,comp_id,date,guest_points,guest_result,guest_team,guest_team_short,home_points,home_result,home_team,home_team_short,host,league,site,time,weapon,winner
52,5,LG2.BuLi Ost4E,14.01.2018,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,14.00 Uhr,Luftgewehr,guest
53,6,LG2.BuLi Ost4F,14.01.2018,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,0,0,SV Bötzow,SV Bötzow,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,14.00 Uhr,Luftgewehr,guest
54,7,LG2.BuLi Ost4G,14.01.2018,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,14.00 Uhr,Luftgewehr,guest
55,8,LG2.BuLi Ost4H,14.01.2018,0,0,PSV Olympia Berlin,PSV Olympia Berlin,0,0,SV Gölzau II,SV Gölzau II,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,14.00 Uhr,Luftgewehr,guest
56,1,LG2.BuLi West1A,15.10.2017,0,0,KarlsSGi Aachen,KarlsSGi Aachen,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,SV Sulzbach-Taunus,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,10.00 Uhr,Luftgewehr,guest
57,2,LG2.BuLi West1B,15.10.2017,0,0,VSS Epe,VSS Epe,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,SV Sulzbach-Taunus,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,11.30 Uhr,Luftgewehr,guest
58,3,LG2.BuLi West1C,15.10.2017,0,0,VSS Epe,VSS Epe,0,0,KarlsSGi Aachen,KarlsSGi Aachen,SV Sulzbach-Taunus,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,14.15 Uhr,Luftgewehr,guest
59,4,LG2.BuLi West1D,15.10.2017,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,SV Sulzbach-Taunus,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,15.45 Uhr,Luftgewehr,guest
60,5,LG2.BuLi West1E,15.10.2017,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,ST Hubertus Elsen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,10.00 Uhr,Luftgewehr,guest
61,6,LG2.BuLi West1F,15.10.2017,0,0,SSV Baunatal,SSV Baunatal,0,0,SV Kamen,SV Kamen,ST Hubertus Elsen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,11.30 Uhr,Luftgewehr,guest
62,7,LG2.BuLi West1G,15.10.2017,0,0,SSV Baunatal,SSV Baunatal,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,ST Hubertus Elsen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,14.15 Uhr,Luftgewehr,guest
63,8,LG2.BuLi West1H,15.10.2017,0,0,SV Kamen,SV Kamen,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,ST Hubertus Elsen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=1,15.45 Uhr,Luftgewehr,guest
64,1,LG2.BuLi West2A,12.11.2017,0,0,SSV Baunatal,SSV Baunatal,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,KarlsSGi Aachen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=2,14.00 Uhr,Luftgewehr,guest
65,2,LG2.BuLi West2B,12.11.2017,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,0,0,KarlsSGi Aachen,KarlsSGi Aachen,KarlsSGi Aachen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=2,15.30 Uhr,Luftgewehr,guest
66,3,LG2.BuLi West2C,12.11.2017,0,0,SV Kamen,SV Kamen,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,VSS Epe,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=2,14.00 Uhr,Luftgewehr,guest
67,4,LG2.BuLi West2D,12.11.2017,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,0,0,VSS Epe,VSS Epe,VSS Epe,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=2,15.30 Uhr,Luftgewehr,guest
68,1,LG2.BuLi West3A,10.12.2017,0,0,KarlsSGi Aachen,KarlsSGi Aachen,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,PSS nden/Altdorf,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,10.00 Uhr,Luftgewehr,guest
69,2,LG2.BuLi West3B,10.12.2017,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,PSS nden/Altdorf,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,11.30 Uhr,Luftgewehr,guest
70,3,LG2.BuLi West3C,10.12.2017,0,0,ST Hubertus Elsen II,ST Hubertus Elsen II,0,0,KarlsSGi Aachen,KarlsSGi Aachen,PSS nden/Altdorf,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,14.15 Uhr,Luftgewehr,guest
71,4,LG2.BuLi West3D,10.12.2017,0,0,SV Sulzbach-Taunus,SV Sulzbach-Taunus,0,0,PSS Inden/Altdorf,PSS Inden/Altdorf,PSS nden/Altdorf,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,15.45 Uhr,Luftgewehr,guest
72,5,LG2.BuLi West3E,10.12.2017,0,0,BSV Buer-Bülse II,BSV Buer-Bülse II,0,0,SV Kamen,SV Kamen,SV Kamen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,10.00 Uhr,Luftgewehr,guest
73,6,LG2.BuLi West3F,10.12.2017,0,0,SSV Baunatal,SSV Baunatal,0,0,VSS Epe,VSS Epe,SV Kamen,2.BuLi West,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=3&wettkampf=3,11.30 Uhr,Luftgewehr,guest
