,first_name,home,id,last_name,point,position,result,shoot_off,team_full
159,Tobias,False,LP2.BuLi Nord1B,Schierholt,1,5,374, ,"('SV Stoppelmarkt',)"
160,Ian Talmark,True,LP2.BuLi Nord1C,Kannerup,0,1,370, ,"('PC Rendsburg',)"
161,Frederik,False,LP2.BuLi Nord1C,Larsen,1,1,383, ,"('SV Groß und Kleinkaliber',)"
162,Uwe,True,LP2.BuLi Nord1C,Hofmann,0,2,361, ,"('PC Rendsburg',)"
163,Miroslaw,False,LP2.BuLi Nord1C,Roj,1,2,372, ,"('SV Groß und Kleinkaliber',)"
164,Helge,True,LP2.BuLi Nord1C,Hagen,1,3,373, ,"('PC Rendsburg',)"
165,Tobias,False,LP2.BuLi Nord1C,Siemssen,0,3,371, ,"('SV Groß und Kleinkaliber',)"
166,Uwe,True,LP2.BuLi Nord1C,Knapp,0,4,357, ,"('PC Rendsburg',)"
167,Falk,False,LP2.BuLi Nord1C,Priebe,1,4,366, ,"('SV Groß und Kleinkaliber',)"
168,Joris,True,LP2.BuLi Nord1C,Feindt,0,5,364, ,"('PC Rendsburg',)"
169,Dieter,False,LP2.BuLi Nord1C,Miller,1,5,367, ,"('SV Groß und Kleinkaliber',)"
170,Thilo,True,LP2.BuLi Nord1C,Wehr,0,1,360, ,"('SV Kutenholz',)"
171,Waldemar,False,LP2.BuLi Nord1C,Markow,1,1,368, ,"('Wandsbeker SGi',)"
172,Sönke,True,LP2.BuLi Nord1C,Borchers,1,2,365, ,"('SV Kutenholz',)"
173,Jochen,False,LP2.BuLi Nord1C,Siemers,0,2,355, ,"('Wandsbeker SGi',)"
174,Sven,True,LP2.BuLi Nord1C,Delventhal,1,3,370, ,"('SV Kutenholz',)"
175,Rainer,False,LP2.BuLi Nord1C,Opitz,0,3,358, ,"('Wandsbeker SGi',)"
176,Jana,True,LP2.BuLi Nord1C,Peper,1,4,367, ,"('SV Kutenholz',)"
177,Valerij,False,LP2.BuLi Nord1C,Krichevskyi,0,4,362, ,"('Wandsbeker SGi',)"
178,Steffen,True,LP2.BuLi Nord1C,Hauschild,0,5,362, ,"('SV Kutenholz',)"
179,Björn-Axel,False,LP2.BuLi Nord1C,Dr. Dose,1,5,367, ,"('Wandsbeker SGi',)"
180,Frederik,True,LP2.BuLi Nord1C,Larsen,1,1,375, ,"('SV Groß und Kleinkaliber',)"
181,Waldemar,False,LP2.BuLi Nord1C,Markow,0,1,362, ,"('Wandsbeker SGi',)"
182,Miroslaw,True,LP2.BuLi Nord1C,Roj,1,2,380, ,"('SV Groß und Kleinkaliber',)"
183,Jochen,False,LP2.BuLi Nord1C,Siemers,0,2,372, ,"('Wandsbeker SGi',)"
184,Tobias,True,LP2.BuLi Nord1C,Siemssen,1,3,371, ,"('SV Groß und Kleinkaliber',)"
185,Rainer,False,LP2.BuLi Nord1C,Opitz,0,3,366, ,"('Wandsbeker SGi',)"
186,Dieter,True,LP2.BuLi Nord1C,Miller,1,4,373, ,"('SV Groß und Kleinkaliber',)"
187,Valerij,False,LP2.BuLi Nord1C,Krichevskyi,0,4,365, ,"('Wandsbeker SGi',)"
188,Kai,True,LP2.BuLi Nord1C,Winnemuth,0,5,356, ,"('SV Groß und Kleinkaliber',)"
189,Björn-Axel,False,LP2.BuLi Nord1C,Dr. Dose,1,5,380, ,"('Wandsbeker SGi',)"
190,Ian Talmark,True,LP2.BuLi Nord1C,Kannerup,1,1,377, ,"('PC Rendsburg',)"
191,Thilo,False,LP2.BuLi Nord1C,Wehr,0,1,367, ,"('SV Kutenholz',)"
192,Uwe,True,LP2.BuLi Nord1C,Hofmann,1,2,369, ,"('PC Rendsburg',)"
193,Sönke,False,LP2.BuLi Nord1C,Borchers,0,2,365, ,"('SV Kutenholz',)"
194,Helge,True,LP2.BuLi Nord1C,Hagen,0,3,365, ,"('PC Rendsburg',)"
195,Sven,False,LP2.BuLi Nord1C,Delventhal,1,3,369, ,"('SV Kutenholz',)"
196,Uwe,True,LP2.BuLi Nord1C,Knapp,0,4,357, ,"('PC Rendsburg',)"
197,Jana,False,LP2.BuLi Nord1C,Peper,1,4,369, ,"('SV Kutenholz',)"
198,Joris,True,LP2.BuLi Nord1C,Feindt,0,5,366, ,"('PC Rendsburg',)"
199,Steffen,False,LP2.BuLi Nord1C,Hauschild,1,5,368, ,"('SV Kutenholz',)"
200,Frans,True,LP2.BuLi Nord1C,Soerensen,1,1,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
201,Meik,False,LP2.BuLi Nord1C,Kutzeck,0,1,366, ,"('SP Brackstedt',)"
